Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Food/Drink,Groceries,4/7/2014,"CHARLOTTE    ,NC",HARRIS TEETER,"HARRIS TEETER #0258 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$39.47 
Food/Drink,Restaurants,11/4/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$16.95 
Food/Drink,Restaurants,10/24/2014,"CHARLOTTE    ,NC",HOLIDAY INN,"HOLIDAY INNS CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$10.00 
Food/Drink,Restaurants,9/30/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$20.82 
Food/Drink,Restaurants,9/8/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$72.45 
Food/Drink,Restaurants,6/1/2014,"CHARLOTTE    ,NC",PINT-CENTRAL,"PINT-CENTRAL CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$26.19 
Food/Drink,Restaurants,5/5/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$73.12 
Food/Drink,Restaurants,4/14/2014,"HUNTERSVILLE ,NC",LANCASTERS,"LANCASTERS BBQ #102 HUNTERSVILLE ,NC",Credit Card XXXX-XXXX-XXXX-2616,$14.64 
Food/Drink,Restaurants,4/11/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$26.47 
Insurance/Financial,Other Insurance/Financial,3/3/2015,RALEIGH,NORTH CAROLINA FARM BUREAU MUTUAL INSURANCE COMPANY,Other Insurance/Financial-NORTH CAROLINA FARM BUREAU MUTUAL INSURANCE COMPANY,CHECKING XXXXXXXXX4195,$63.00 
Miscellaneous,Fees/Service Charges/Dues,12/8/2014,"CHARLOTTE    ,NC",CHARLOTTE AVIATION/PRKNG,"CHARLOTTE AVIATION/PRKNG CHARLOTTE    ,NC",PLATINUM CARD XXXX-XXXX-XXXX-3002,$60.00 
Shopping,Electronics/Software,6/14/2014,"CONCORD      ,NC",BEST BUY,"BEST BUY      00002683 CONCORD      ,NC",Credit Card XXXX-XXXX-XXXX-2616,$90.92 
Travel,Rental Car,10/11/2014,"CHARLOTTE    ,NC",YELLOW CAB OF CHARLOTTE,"YELLOW CAB OF CHARLOTTE CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$18.00 
