Bills/Utilities,Gas/Electric,1/6/2015,"CHARLOTTE    ,NC",DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$87.45 
Bills/Utilities,Gas/Electric,12/2/2014,"CHARLOTTE    ,NC",DUKE ENERGY NORTH AND SOUTH CAROLINA,Gas/Electric-DUKE ENERGY NORTH AND SOUTH CAROLINA,CHECKING XXXXXXXXX4195,$76.60 
Auto/Transportation,Gasoline,5/31/2014,"CHARLOTTE    ,NC",SHELL OIL,"SHELL OIL 57545513707 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$61.92 
Food/Drink,Bars/Alcohol,6/25/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$27.77 
Food/Drink,Bars/Alcohol,6/21/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$27.77 
Food/Drink,Bars/Alcohol,5/31/2014,"CHARLOTTE    ,NC",THIRSTY BEAVER SALOON,"THIRSTY BEAVER SALOON, CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$15.25 
Food/Drink,Bars/Alcohol,5/30/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$27.77 
Food/Drink,Bars/Alcohol,5/7/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$53.45 
Food/Drink,Bars/Alcohol,4/14/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$29.91 
Food/Drink,Bars/Alcohol,4/3/2014,"CHARLOTTE    ,NC",MECKLENBURG COUNTY ABC,"MECKLENBURG COUNTY ABC CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$36.27 
Food/Drink,Fast Food,11/4/2014,"CHARLOTTE    ,NC",JACK IN THE BOX,"JACK IN THE BOX 6807 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$8.41 
Food/Drink,Fast Food,11/4/2014,"CHARLOTTE    ,NC",UNCC CHICK FIL,"UNCC CHICK FIL28127298 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$6.97 
Food/Drink,Fast Food,11/4/2014,"CHARLOTTE    ,NC",UNCC CHICK FIL,"UNCC CHICK FIL28127298 CHARLOTTE    ,NC",PLATINUM CARD XXXX-XXXX-XXXX-3002,$6.97 
Food/Drink,Fast Food,11/3/2014,"CHARLOTTE    ,NC",STARBUCKS,"UNCC STARBUCKS28212165 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$2.44 
Food/Drink,Fast Food,11/3/2014,"CHARLOTTE    ,NC",UNCC EINSTEIN,"UNCC EINSTEIN 28212132 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$7.77 
Food/Drink,Fast Food,11/3/2014,"CHARLOTTE    ,NC",UNCC EINSTEIN,"UNCC EINSTEIN 28212132 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$5.25 
Food/Drink,Fast Food,4/14/2014,"CHARLOTTE    ,NC",UNCC MAIN ST M,"UNCC MAIN ST M20127338 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$6.48 
Food/Drink,Fast Food,4/4/2014,"CHARLOTTE    ,NC",TACO BELL,"TACO BELL 001600168484 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$9.17 
Food/Drink,Fast Food,4/4/2014,"CHARLOTTE    ,NC",UNCC CHICK FIL,"UNCC CHICK FIL28127298 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$10.00 
Food/Drink,Fast Food,3/10/2014,"CHARLOTTE    ,NC",UNCC LIBRARY P,"UNCC LIBRARY P28127322 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$4.27 
Food/Drink,Groceries,6/9/2014,"CHARLOTTE    ,NC",HARRIS TEETER,"HARRIS TEETER #0258 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$76.22 
Food/Drink,Groceries,4/7/2014,"CHARLOTTE    ,NC",HARRIS TEETER,"HARRIS TEETER #0258 CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$39.47 
Food/Drink,Restaurants,11/4/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$16.95 
Food/Drink,Restaurants,10/24/2014,"CHARLOTTE    ,NC",HOLIDAY INN,"HOLIDAY INNS CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$10.00 
Food/Drink,Restaurants,9/30/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$20.82 
Food/Drink,Restaurants,9/8/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$72.45 
Food/Drink,Restaurants,6/1/2014,"CHARLOTTE    ,NC",PINT-CENTRAL,"PINT-CENTRAL CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$26.19 
Food/Drink,Restaurants,5/5/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$73.12 
Food/Drink,Restaurants,4/11/2014,"CHARLOTTE    ,NC",TOPPERS PIZZA UNIVERSITY,"TOPPERS PIZZA UNIVERSITY CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$26.47 
Miscellaneous,Fees/Service Charges/Dues,12/8/2014,"CHARLOTTE    ,NC",CHARLOTTE AVIATION/PRKNG,"CHARLOTTE AVIATION/PRKNG CHARLOTTE    ,NC",PLATINUM CARD XXXX-XXXX-XXXX-3002,$60.00 
Travel,Rental Car,10/11/2014,"CHARLOTTE    ,NC",YELLOW CAB OF CHARLOTTE,"YELLOW CAB OF CHARLOTTE CHARLOTTE    ,NC",Credit Card XXXX-XXXX-XXXX-2616,$18.00 
Shopping,Electronics/Software,6/14/2014,"CONCORD      ,NC",BEST BUY,"BEST BUY      00002683 CONCORD      ,NC",Credit Card XXXX-XXXX-XXXX-2616,$90.92 
Travel,Lodging,4/14/2015,"FORT LAUDERDA,FL",HILTON HOTELS,"HILTON FT LD MARINAHOT FORT LAUDERDA,FL",PLATINUM CARD XXXX-XXXX-XXXX-3002,$485.42 
Food/Drink,Restaurants,4/14/2014,"HUNTERSVILLE ,NC",LANCASTERS,"LANCASTERS BBQ #102 HUNTERSVILLE ,NC",Credit Card XXXX-XXXX-XXXX-2616,$14.64 
Insurance/Financial,Other Insurance/Financial,3/3/2015,"RALEIGH, NC",NORTH CAROLINA FARM BUREAU MUTUAL INSURANCE COMPANY,Other Insurance/Financial-NORTH CAROLINA FARM BUREAU MUTUAL INSURANCE COMPANY,CHECKING XXXXXXXXX4195,$63.00 
Miscellaneous,Other Miscellaneous,11/5/2014,"RALEIGH, NC",ITEM TRANSFER ACCT BAL T,"ITEM TRANSFER, ACCT BAL T RANSFER (TF) ,",PLATINUM CARD XXXX-XXXX-XXXX-3002,($115.46)
Insurance/Financial,Other Insurance/Financial,11/10/2014,"RALEIGH, NC",FOREIGN CURRENCY FEE ADJU,"FOREIGN CURRENCY FEE ADJU STMENT (MB)  ,",Credit Card XXXX-XXXX-XXXX-2616,($3.36)
